id,fecha,direccion,id_cliente,detalle
1,2024-04-28,"384 Lee Park Suite 959, South Carrie, PA 76737",192,Order placed by Melinda Douglas
2,2024-01-28,"7986 Jacob Circle Apt. 451, Alexandrabury, MN 85323",13,Order placed by Erica Marshall
3,2024-05-26,"129 Christopher Circles Apt. 244, Taylorside, CO 47928",114,Order placed by Denise Dean
4,2024-01-22,"68665 Courtney View Apt. 648, Woodwardmouth, MS 07376",339,Order placed by Amber Dalton
5,2024-04-21,"9459 White Mews, Lake Kylefort, MD 05516",466,Order placed by Robert Williams
6,2024-05-07,"891 Holly Fort, West Anthonyburgh, ME 85677",254,Order placed by Kristin Woods
7,2024-06-20,"9949 Johnson Bypass, Leahfurt, VA 99438",132,Order placed by Ashley Jackson
8,2024-05-10,"1420 Green Forge Apt. 940, North Marvin, OR 08344",389,Order placed by Douglas Trujillo
9,2024-03-22,"08314 Richard Squares Suite 455, Tuckerview, NY 64209",249,Order placed by Lisa Dickerson
10,2024-04-02,"59734 Mark River Suite 123, East Angela, IL 04583",22,Order placed by Jason Parker
11,2024-01-18,"9297 Charles Grove, North Michaelmouth, UT 93534",235,Order placed by Melinda Barnes
12,2024-02-22,"USNS Ellis, FPO AP 83726",223,Order placed by Mrs. Rachel Garcia PhD
13,2024-05-14,"792 Tricia Row, Lutzberg, AL 55937",223,Order placed by Mrs. Rachel Garcia PhD
14,2024-01-06,"41181 Lisa Bridge Apt. 459, New Cheryl, CT 57743",192,Order placed by Melinda Douglas
15,2024-03-13,"5175 Bell Crest Apt. 668, Andrewsborough, NV 74022",280,Order placed by Nathan Gray
16,2024-06-02,"45039 Walter Springs, West Russellland, MI 16169",461,Order placed by Shawn Zavala
17,2024-03-09,"423 Linda Ferry Suite 763, Matthewmouth, CO 64173",211,Order placed by William Mcknight
18,2024-04-21,"7951 Matthews Oval, West Randyfurt, ND 09735",340,Order placed by Nicholas Love
19,2024-02-05,"512 Cynthia Vista Suite 912, West Gregory, TN 79013",84,Order placed by Ricardo Perry
20,2024-04-28,"48558 Jennifer Road, Mcdonaldtown, MI 72988",113,Order placed by Heather Lewis
21,2024-05-16,"23130 Savage Centers Suite 215, Bennettview, PA 97027",126,Order placed by Robin Carpenter
22,2024-01-16,"96081 Mercado Place Suite 359, Mitchellstad, AR 94444",19,Order placed by Austin Hogan
23,2024-02-19,"76708 Arnold Inlet, Jonathanhaven, NV 87417",331,Order placed by Dana Sanders
24,2024-01-09,"7541 Schultz Shores, Richardfurt, AZ 48297",325,Order placed by Jody Brown
25,2024-01-26,"161 Randy Street Apt. 164, East Kyleview, GA 65960",86,Order placed by Kent Brown
26,2024-03-26,"81966 Vanessa Field Suite 358, West Katherineland, NV 42941",272,Order placed by Anthony Beck
27,2024-02-06,"07907 George Lakes Suite 012, Gutierrezchester, MO 65233",311,Order placed by Jerry Little
